Imovel(ID: 1, Endereco: IXTZJBBYGR, Preco: 199272, Tipo: apartamento, Status: disponível)
Imovel(ID: 2, Endereco: EEFJXOGMEY, Preco: 235707, Tipo: apartamento, Status: disponível)
Imovel(ID: 3, Endereco: NKMRKBISPS, Preco: 989930, Tipo: casa, Status: disponível)
Imovel(ID: 4, Endereco: OGSBRBDONE, Preco: 131095, Tipo: casa, Status: disponível)
Imovel(ID: 5, Endereco: HMLFNEFCAE, Preco: 492629, Tipo: casa, Status: disponível)
Imovel(ID: 6, Endereco: QHQVUKWLYX, Preco: 929361, Tipo: apartamento, Status: disponível)
Imovel(ID: 7, Endereco: BDDEFLJDRE, Preco: 491163, Tipo: apartamento, Status: disponível)
Imovel(ID: 8, Endereco: RUIRHHJPIJ, Preco: 797384, Tipo: casa, Status: disponível)
Imovel(ID: 9, Endereco: ATBMEKQLFA, Preco: 362802, Tipo: apartamento, Status: disponível)
Imovel(ID: 10, Endereco: VZMGJKUFOY, Preco: 303656, Tipo: casa, Status: disponível)
Imovel(ID: 11, Endereco: JAPCYELZRS, Preco: 804549, Tipo: apartamento, Status: disponível)
Imovel(ID: 12, Endereco: AFEEYCATTJ, Preco: 945986, Tipo: apartamento, Status: disponível)
Imovel(ID: 13, Endereco: IRODCXEFWJ, Preco: 921491, Tipo: casa, Status: disponível)
Imovel(ID: 14, Endereco: GRCRWTSCUG, Preco: 838329, Tipo: apartamento, Status: disponível)
Imovel(ID: 15, Endereco: XWZHOBUTPT, Preco: 827703, Tipo: casa, Status: disponível)
Imovel(ID: 16, Endereco: GGLAMJBDYH, Preco: 935072, Tipo: casa, Status: disponível)
Imovel(ID: 17, Endereco: ISIWAZDVUR, Preco: 324175, Tipo: casa, Status: disponível)
Imovel(ID: 18, Endereco: CAMFKGIHUY, Preco: 828187, Tipo: apartamento, Status: disponível)
Imovel(ID: 19, Endereco: ROBRWYLNKV, Preco: 523579, Tipo: apartamento, Status: disponível)
Imovel(ID: 20, Endereco: JBKPHURANH, Preco: 502569, Tipo: casa, Status: disponível)
Imovel(ID: 21, Endereco: AJYXSZUZTY, Preco: 927795, Tipo: casa, Status: disponível)
Imovel(ID: 22, Endereco: CLGSWGBNPE, Preco: 441250, Tipo: apartamento, Status: disponível)
Imovel(ID: 23, Endereco: LZTKVJGSPH, Preco: 748964, Tipo: casa, Status: disponível)
Imovel(ID: 24, Endereco: ZTBJBIQDKA, Preco: 749944, Tipo: casa, Status: disponível)
Imovel(ID: 25, Endereco: FUJWGYLJUN, Preco: 841348, Tipo: casa, Status: disponível)
Imovel(ID: 26, Endereco: XTZAAYBKKZ, Preco: 435096, Tipo: apartamento, Status: disponível)
Imovel(ID: 27, Endereco: XOFPCXZKVW, Preco: 395787, Tipo: casa, Status: disponível)
Imovel(ID: 28, Endereco: HHHXPWUEWT, Preco: 666219, Tipo: casa, Status: disponível)
Imovel(ID: 29, Endereco: QOLSTWVUUK, Preco: 275800, Tipo: apartamento, Status: disponível)
Imovel(ID: 30, Endereco: SAVMNYHZOE, Preco: 267606, Tipo: casa, Status: disponível)
Imovel(ID: 31, Endereco: VUIOYRPEUB, Preco: 352735, Tipo: apartamento, Status: disponível)
Imovel(ID: 32, Endereco: BEFYLSAMVP, Preco: 297541, Tipo: casa, Status: disponível)
Imovel(ID: 33, Endereco: ADCBCHTEIZ, Preco: 919754, Tipo: casa, Status: disponível)
Imovel(ID: 34, Endereco: RQCWWSJBBR, Preco: 705308, Tipo: apartamento, Status: disponível)
Imovel(ID: 35, Endereco: BBANYHALUI, Preco: 914950, Tipo: casa, Status: disponível)
Imovel(ID: 36, Endereco: UWPHZXZKMP, Preco: 281677, Tipo: apartamento, Status: disponível)
Imovel(ID: 37, Endereco: JQQBWLRBAU, Preco: 237831, Tipo: apartamento, Status: disponível)
Imovel(ID: 38, Endereco: PIKRFSORYX, Preco: 698584, Tipo: casa, Status: disponível)
Imovel(ID: 39, Endereco: YPVOPZUVVP, Preco: 432293, Tipo: casa, Status: disponível)
Imovel(ID: 40, Endereco: KVZCRUNIFK, Preco: 164363, Tipo: apartamento, Status: disponível)
Imovel(ID: 41, Endereco: MZKTYDZHLR, Preco: 550911, Tipo: apartamento, Status: disponível)
Imovel(ID: 42, Endereco: AEXADPAVZW, Preco: 773497, Tipo: apartamento, Status: disponível)
Imovel(ID: 43, Endereco: AGTSHDQZEL, Preco: 702990, Tipo: apartamento, Status: disponível)
Imovel(ID: 44, Endereco: BRWTZRVTDH, Preco: 881678, Tipo: casa, Status: disponível)
Imovel(ID: 45, Endereco: UXVEAMOFDV, Preco: 594352, Tipo: casa, Status: disponível)
Imovel(ID: 46, Endereco: AWYRDRPOBI, Preco: 852942, Tipo: apartamento, Status: disponível)
Imovel(ID: 47, Endereco: WTTLVPBVKT, Preco: 267411, Tipo: casa, Status: disponível)
Imovel(ID: 48, Endereco: UPYHYDAFDS, Preco: 331586, Tipo: casa, Status: disponível)
Imovel(ID: 49, Endereco: PVSHINZKHJ, Preco: 146323, Tipo: casa, Status: disponível)
Imovel(ID: 50, Endereco: GTODMLHHVQ, Preco: 235454, Tipo: apartamento, Status: disponível)
Imovel(ID: 51, Endereco: SGWCVEHPDU, Preco: 356914, Tipo: casa, Status: disponível)
Imovel(ID: 52, Endereco: CDCSCPVLXX, Preco: 268543, Tipo: casa, Status: disponível)
Imovel(ID: 53, Endereco: ZKZFDJLNPO, Preco: 377209, Tipo: apartamento, Status: disponível)
Imovel(ID: 54, Endereco: MDMOBJRLXY, Preco: 392983, Tipo: casa, Status: disponível)
Imovel(ID: 55, Endereco: WPOSFPXNBE, Preco: 310993, Tipo: casa, Status: disponível)
Imovel(ID: 56, Endereco: DBAUPQHSNQ, Preco: 683276, Tipo: casa, Status: disponível)
Imovel(ID: 57, Endereco: QHZBEDEEPS, Preco: 537232, Tipo: apartamento, Status: disponível)
Imovel(ID: 58, Endereco: XTJRDUXZKM, Preco: 242099, Tipo: apartamento, Status: disponível)
Imovel(ID: 59, Endereco: EXWQQKJOCC, Preco: 617414, Tipo: casa, Status: disponível)
Imovel(ID: 60, Endereco: VPEBJSGBCY, Preco: 760430, Tipo: apartamento, Status: disponível)
Imovel(ID: 61, Endereco: OKECIAXAEW, Preco: 410896, Tipo: casa, Status: disponível)
Imovel(ID: 62, Endereco: HTJXEAGUJP, Preco: 867716, Tipo: casa, Status: disponível)
Imovel(ID: 63, Endereco: EMTWTLVKJR, Preco: 144144, Tipo: apartamento, Status: disponível)
Imovel(ID: 64, Endereco: MVMOLAJHPU, Preco: 360468, Tipo: casa, Status: disponível)
Imovel(ID: 65, Endereco: ELKNGCAZUN, Preco: 147149, Tipo: apartamento, Status: disponível)
Imovel(ID: 66, Endereco: DPBMGJFAPV, Preco: 933618, Tipo: apartamento, Status: disponível)
Imovel(ID: 67, Endereco: UVSAMVFEWQ, Preco: 795384, Tipo: casa, Status: disponível)
Imovel(ID: 68, Endereco: XKFPDZWGFL, Preco: 454956, Tipo: apartamento, Status: disponível)
Imovel(ID: 69, Endereco: IGRFZMQORZ, Preco: 431539, Tipo: apartamento, Status: disponível)
Imovel(ID: 70, Endereco: SXJBWHJGVF, Preco: 569522, Tipo: casa, Status: disponível)
Imovel(ID: 71, Endereco: ZNVTECAMKV, Preco: 629024, Tipo: apartamento, Status: disponível)
Imovel(ID: 72, Endereco: NZEHZFZLRV, Preco: 179814, Tipo: apartamento, Status: disponível)
Imovel(ID: 73, Endereco: NFLZLTVLSK, Preco: 623234, Tipo: casa, Status: disponível)
Imovel(ID: 74, Endereco: PAHKYVRYHK, Preco: 447366, Tipo: casa, Status: disponível)
Imovel(ID: 75, Endereco: ZPNSQFFFFP, Preco: 370696, Tipo: casa, Status: disponível)
Imovel(ID: 76, Endereco: ZZKIXIGRLK, Preco: 841758, Tipo: casa, Status: disponível)
Imovel(ID: 77, Endereco: OMLOJLZGLK, Preco: 408371, Tipo: apartamento, Status: disponível)
Imovel(ID: 78, Endereco: RHROEGDCWI, Preco: 433583, Tipo: casa, Status: disponível)
Imovel(ID: 79, Endereco: MGBIHFHFWU, Preco: 917028, Tipo: casa, Status: disponível)
Imovel(ID: 80, Endereco: GSLQQYTISM, Preco: 907332, Tipo: casa, Status: disponível)
Imovel(ID: 81, Endereco: SJEATJRPCC, Preco: 635550, Tipo: apartamento, Status: disponível)
Imovel(ID: 82, Endereco: LTJUEMPTGP, Preco: 399859, Tipo: apartamento, Status: disponível)
Imovel(ID: 83, Endereco: YSAWGPYCGQ, Preco: 205705, Tipo: casa, Status: disponível)
Imovel(ID: 84, Endereco: WTXMCMVQMZ, Preco: 714031, Tipo: casa, Status: disponível)
Imovel(ID: 85, Endereco: VVPCAMPGZC, Preco: 190529, Tipo: casa, Status: disponível)
Imovel(ID: 86, Endereco: UGGQQIFFCF, Preco: 435270, Tipo: apartamento, Status: disponível)
Imovel(ID: 87, Endereco: VIUEONHAUD, Preco: 639413, Tipo: apartamento, Status: disponível)
Imovel(ID: 88, Endereco: UPIDYBJIFG, Preco: 697980, Tipo: apartamento, Status: disponível)
Imovel(ID: 89, Endereco: VTMPSZWJZA, Preco: 376204, Tipo: casa, Status: disponível)
Imovel(ID: 90, Endereco: NUHSDXCYLS, Preco: 551468, Tipo: casa, Status: disponível)
Imovel(ID: 91, Endereco: PNVCLDKAOR, Preco: 384663, Tipo: apartamento, Status: disponível)
Imovel(ID: 92, Endereco: QGTDYTEHAD, Preco: 365120, Tipo: apartamento, Status: disponível)
Imovel(ID: 93, Endereco: LSAQLKWQFF, Preco: 421718, Tipo: apartamento, Status: disponível)
