Imovel(ID: I80, Endereco: EDCGDTUXKG, Preco: 661006, Tipo: apartamento, Status: disponível)
Imovel(ID: I58, Endereco: JLGENXVRQW, Preco: 916523, Tipo: casa, Status: disponível)
Imovel(ID: I123, Endereco: EOSPZWDKJQ, Preco: 781312, Tipo: apartamento, Status: disponível)
Imovel(ID: I136, Endereco: YCKGLVVCPG, Preco: 473081, Tipo: casa, Status: disponível)
Imovel(ID: I101, Endereco: VCFTFMYREX, Preco: 801813, Tipo: casa, Status: disponível)
Imovel(ID: I56, Endereco: ZWDICYJKOE, Preco: 325090, Tipo: casa, Status: disponível)
Imovel(ID: I18, Endereco: UJEAODMNAO, Preco: 386397, Tipo: apartamento, Status: disponível)
Imovel(ID: I33, Endereco: HIUIOBFBWI, Preco: 200864, Tipo: casa, Status: disponível)
Imovel(ID: I86, Endereco: ZFPNKJXURU, Preco: 690604, Tipo: apartamento, Status: disponível)
Imovel(ID: I162, Endereco: NVNLZWVFMK, Preco: 465421, Tipo: apartamento, Status: disponível)
Imovel(ID: I177, Endereco: IWWYODVSVR, Preco: 401914, Tipo: casa, Status: disponível)
Imovel(ID: I20, Endereco: YYWQTGIROM, Preco: 805198, Tipo: apartamento, Status: disponível)
Imovel(ID: I131, Endereco: RTDQRJVGYT, Preco: 826856, Tipo: apartamento, Status: disponível)
Imovel(ID: I198, Endereco: TDWAWUUKHJ, Preco: 485344, Tipo: apartamento, Status: disponível)
Imovel(ID: I63, Endereco: YCVQFBPAHI, Preco: 217506, Tipo: apartamento, Status: disponível)
Imovel(ID: I21, Endereco: MUDRUTPOHN, Preco: 568840, Tipo: apartamento, Status: disponível)
Imovel(ID: I118, Endereco: LWPEDFNKCL, Preco: 570758, Tipo: casa, Status: disponível)
Imovel(ID: I69, Endereco: CEACVHZWHK, Preco: 365244, Tipo: casa, Status: disponível)
Imovel(ID: I145, Endereco: JYUSBZIOUA, Preco: 608469, Tipo: apartamento, Status: disponível)
Imovel(ID: I7, Endereco: GLBSJYCUAI, Preco: 128210, Tipo: apartamento, Status: disponível)
Imovel(ID: I60, Endereco: WWTFPTNPFT, Preco: 733488, Tipo: apartamento, Status: disponível)
Imovel(ID: I104, Endereco: GZUTKGKJZE, Preco: 432850, Tipo: apartamento, Status: disponível)
Imovel(ID: I30, Endereco: VCRVLFAXWZ, Preco: 598903, Tipo: apartamento, Status: disponível)
Imovel(ID: I8, Endereco: PFNCOPOLPN, Preco: 745682, Tipo: casa, Status: disponível)
Imovel(ID: I194, Endereco: XHVBMZUQZY, Preco: 584181, Tipo: apartamento, Status: disponível)
Imovel(ID: I160, Endereco: XXOOZPBSKS, Preco: 469558, Tipo: casa, Status: disponível)
Imovel(ID: I138, Endereco: VJKOHFTREI, Preco: 691213, Tipo: apartamento, Status: disponível)
Imovel(ID: I61, Endereco: MODPEHUCZQ, Preco: 134526, Tipo: apartamento, Status: disponível)
Imovel(ID: I72, Endereco: NZPXLLJQNG, Preco: 644550, Tipo: casa, Status: disponível)
Imovel(ID: I188, Endereco: YPRTDBSGVS, Preco: 802063, Tipo: apartamento, Status: disponível)
Imovel(ID: I193, Endereco: CGEXAAKPLJ, Preco: 441793, Tipo: apartamento, Status: disponível)
Imovel(ID: I153, Endereco: NAPNFCLMWF, Preco: 415069, Tipo: apartamento, Status: disponível)
Imovel(ID: I133, Endereco: VSYNYYMPCF, Preco: 409937, Tipo: casa, Status: disponível)
Imovel(ID: I52, Endereco: QIYUORXBEH, Preco: 459765, Tipo: apartamento, Status: disponível)
Imovel(ID: I164, Endereco: EWBZYJOATB, Preco: 985203, Tipo: casa, Status: disponível)
Imovel(ID: I148, Endereco: DBWMCNYVOG, Preco: 487186, Tipo: apartamento, Status: disponível)
Imovel(ID: I67, Endereco: VYLKFCEMWL, Preco: 420220, Tipo: casa, Status: disponível)
Imovel(ID: I150, Endereco: QJUDOFZMRS, Preco: 927323, Tipo: casa, Status: disponível)
Imovel(ID: I195, Endereco: ZUCHEGQDDS, Preco: 961791, Tipo: apartamento, Status: disponível)
Imovel(ID: I130, Endereco: YLDCBPRVCO, Preco: 507325, Tipo: apartamento, Status: disponível)
Imovel(ID: I111, Endereco: BUQATUKGCY, Preco: 313035, Tipo: casa, Status: disponível)
Imovel(ID: I181, Endereco: ZPZSHPPFYI, Preco: 492111, Tipo: apartamento, Status: disponível)
Imovel(ID: I189, Endereco: RWSBRQQJCN, Preco: 291680, Tipo: casa, Status: disponível)
Imovel(ID: I28, Endereco: RIAUETGLZO, Preco: 991400, Tipo: apartamento, Status: disponível)
Imovel(ID: I140, Endereco: GHARVWCDRT, Preco: 530873, Tipo: apartamento, Status: disponível)
Imovel(ID: I107, Endereco: FTNWNSGAYG, Preco: 418500, Tipo: apartamento, Status: disponível)
Imovel(ID: I149, Endereco: FZEHHAXTWM, Preco: 674574, Tipo: apartamento, Status: disponível)
Imovel(ID: I99, Endereco: TGJMLJUUNW, Preco: 976866, Tipo: apartamento, Status: disponível)
Imovel(ID: I166, Endereco: FWIDGXKSUL, Preco: 458898, Tipo: apartamento, Status: disponível)
Imovel(ID: I170, Endereco: KSOYUCEPAB, Preco: 384149, Tipo: casa, Status: disponível)
Imovel(ID: I196, Endereco: LHXTMYYZOW, Preco: 462475, Tipo: apartamento, Status: disponível)
Imovel(ID: I73, Endereco: SKJWNWHUNY, Preco: 714280, Tipo: casa, Status: disponível)
Imovel(ID: I41, Endereco: SSDLYGKWLC, Preco: 825889, Tipo: apartamento, Status: disponível)
Imovel(ID: I172, Endereco: VJUQSPGVVB, Preco: 171259, Tipo: casa, Status: disponível)
Imovel(ID: I103, Endereco: BCCZKQWGTB, Preco: 691383, Tipo: casa, Status: disponível)
Imovel(ID: I182, Endereco: RGANYYKSTL, Preco: 982012, Tipo: apartamento, Status: disponível)
Imovel(ID: I180, Endereco: ERZUSIUNPP, Preco: 202741, Tipo: casa, Status: disponível)
Imovel(ID: I38, Endereco: HUBGGZTMQH, Preco: 914222, Tipo: casa, Status: disponível)
Imovel(ID: I70, Endereco: NALSITPRXR, Preco: 908696, Tipo: apartamento, Status: disponível)
Imovel(ID: I77, Endereco: SOQKUWCMMP, Preco: 870711, Tipo: casa, Status: disponível)
Imovel(ID: I9, Endereco: LLAFCZKFPX, Preco: 781474, Tipo: casa, Status: disponível)
Imovel(ID: I71, Endereco: DVHKGNENRA, Preco: 166349, Tipo: casa, Status: disponível)
Imovel(ID: I37, Endereco: FKEMABXULX, Preco: 808242, Tipo: casa, Status: disponível)
Imovel(ID: I163, Endereco: EDFVYKBRDC, Preco: 980636, Tipo: apartamento, Status: disponível)
Imovel(ID: I143, Endereco: LQROBXRVZK, Preco: 667670, Tipo: apartamento, Status: disponível)
Imovel(ID: I109, Endereco: QLNXVDKPIA, Preco: 422811, Tipo: apartamento, Status: disponível)
Imovel(ID: I15, Endereco: WQBIAMWNHX, Preco: 123301, Tipo: casa, Status: disponível)
Imovel(ID: I1, Endereco: ZWILUWVBZC, Preco: 486874, Tipo: apartamento, Status: disponível)
Imovel(ID: I3, Endereco: ARQYVJDFXN, Preco: 645494, Tipo: apartamento, Status: disponível)
Imovel(ID: I185, Endereco: FKMDHAQDLD, Preco: 639873, Tipo: apartamento, Status: disponível)
Imovel(ID: I64, Endereco: JZFUFUJEAC, Preco: 284820, Tipo: apartamento, Status: disponível)
Imovel(ID: I112, Endereco: QTXYZTKACQ, Preco: 764588, Tipo: apartamento, Status: disponível)
Imovel(ID: I10, Endereco: SODTFYCTJT, Preco: 585640, Tipo: casa, Status: disponível)
Imovel(ID: I108, Endereco: QOIWCPQEGJ, Preco: 825721, Tipo: casa, Status: disponível)
Imovel(ID: I26, Endereco: ZJOGPFJBEE, Preco: 181264, Tipo: casa, Status: disponível)
Imovel(ID: I184, Endereco: INKHZGGEHQ, Preco: 683461, Tipo: apartamento, Status: disponível)
Imovel(ID: I95, Endereco: KUWTTQSKYG, Preco: 578834, Tipo: casa, Status: disponível)
Imovel(ID: I179, Endereco: BIDJCJDTZK, Preco: 628027, Tipo: apartamento, Status: disponível)
Imovel(ID: I167, Endereco: HNLJGMPWNN, Preco: 826026, Tipo: casa, Status: disponível)
Imovel(ID: I156, Endereco: KLNTKIYGKR, Preco: 421035, Tipo: casa, Status: disponível)
Imovel(ID: I65, Endereco: ZCBVPKCEEZ, Preco: 919355, Tipo: apartamento, Status: disponível)
Imovel(ID: I174, Endereco: MZHCBUKCLT, Preco: 945828, Tipo: casa, Status: disponível)
Imovel(ID: I40, Endereco: GLINBOCNUP, Preco: 935104, Tipo: casa, Status: disponível)
Imovel(ID: I191, Endereco: EYAWRYNOTZ, Preco: 802323, Tipo: apartamento, Status: disponível)
Imovel(ID: I110, Endereco: KPVENLYAYT, Preco: 691582, Tipo: casa, Status: disponível)
Imovel(ID: I83, Endereco: HTKYKAFNKT, Preco: 828799, Tipo: apartamento, Status: disponível)
Imovel(ID: I125, Endereco: BNMUSAZNOH, Preco: 217990, Tipo: apartamento, Status: disponível)
Imovel(ID: I197, Endereco: CFEOUETYUK, Preco: 256021, Tipo: casa, Status: disponível)
Imovel(ID: I51, Endereco: LTCNXZKLPJ, Preco: 892467, Tipo: casa, Status: disponível)
Imovel(ID: I122, Endereco: FPVSFAPNXS, Preco: 779866, Tipo: casa, Status: disponível)
Imovel(ID: I121, Endereco: YLMBLDYRNW, Preco: 182433, Tipo: apartamento, Status: disponível)
Imovel(ID: I78, Endereco: MQHBVXCZMN, Preco: 887254, Tipo: casa, Status: disponível)
Imovel(ID: I124, Endereco: PMXGNFZTAU, Preco: 482058, Tipo: casa, Status: disponível)
Imovel(ID: I96, Endereco: HSFSEZSPOS, Preco: 928120, Tipo: casa, Status: disponível)
Imovel(ID: I161, Endereco: GJLWBZKIRP, Preco: 728970, Tipo: casa, Status: disponível)
Imovel(ID: I27, Endereco: FJNSFTNKDT, Preco: 386047, Tipo: apartamento, Status: disponível)
Imovel(ID: I126, Endereco: EZKUISDXPA, Preco: 251903, Tipo: apartamento, Status: disponível)
Imovel(ID: I84, Endereco: OVGNEJGCCU, Preco: 417375, Tipo: apartamento, Status: disponível)
Imovel(ID: I39, Endereco: CLAXMGHSSA, Preco: 509352, Tipo: casa, Status: disponível)
Imovel(ID: I85, Endereco: OCPCMCCECM, Preco: 317602, Tipo: casa, Status: disponível)
Imovel(ID: I47, Endereco: ALPWXCJIXG, Preco: 575966, Tipo: apartamento, Status: disponível)
Imovel(ID: I98, Endereco: ZQPCFOVGSV, Preco: 416725, Tipo: apartamento, Status: disponível)
Imovel(ID: I91, Endereco: FIKQCZBKHX, Preco: 158613, Tipo: casa, Status: disponível)
